ProductKey,ProductId,LocationId,ProductName,Category,CategoryId,Price,SKU
1,1,0,Build your own computer,Desktops,2,1200.0,COMP_CUST
2,2,0,Digital Storm VANQUISH 3 Custom Performance PC,Desktops,2,1259.0,DS_VA3_PC
3,3,0,Lenovo IdeaCentre 600 All-in-One PC,Desktops,2,500.0,LE_IC_600
4,4,0,Apple MacBook Pro 13-inch,Notebooks,3,1800.0,AP_MBP_13
5,5,0,Asus N551JK-XO076H Laptop,Notebooks,3,1500.0,AS_551_LP
6,6,0,Samsung Series 9 NP900X4C Premium Ultrabook,Notebooks,3,1590.0,SM_900_PU
7,7,0,HP Spectre XT Pro UltraBook,Notebooks,3,1350.0,HP_SPX_UB
8,8,0,HP Envy 6-1180ca 15.6-Inch Sleekbook,Notebooks,3,1460.0,HP_ESB_15
9,9,0,Lenovo Thinkpad X1 Carbon Laptop,Notebooks,3,1360.0,LE_TX1_CL
10,10,0,Adobe Photoshop CS4,Software,4,75.0,AD_CS4_PH
11,11,0,Windows 8 Pro,Software,4,65.0,MS_WIN_8P
12,12,0,Sound Forge Pro 11 (recurring),Software,4,54.99,SF_PRO_11
13,13,0,Nikon D5500 DSLR,Camera & photo,6,670.0,N5500DS_0
14,16,0,Leica T Mirrorless Digital Camera,Camera & photo,6,530.0,LT_MIR_DC
15,17,0,Apple iCam,Camera & photo,6,1300.0,APPLE_CAM
16,18,0,HTC One M8 Android L 5.0 Lollipop,Cell phones,7,245.0,M8_HTC_5L
17,19,0,HTC One Mini Blue,Cell phones,7,100.0,OM_HTC_BL
18,20,0,Nokia Lumia 1020,Cell phones,7,349.0,N_1020_LU
19,21,0,Beats Pill 2.0 Wireless Speaker,Others,8,79.99,BP_20_WSP
20,22,0,Universal 7-8 Inch Tablet Cover,Others,8,39.0,TC_78I_UN
21,23,0,Portable Sound Speakers,Others,8,37.0,PT_SPK_SN
22,24,0,Nike Floral Roshe Customized Running Shoes,Shoes,10,40.0,NK_FRC_RS
23,25,0,adidas Consortium Campus 80s Running Shoes,Shoes,10,27.56,AD_C80_RS
24,26,0,"Nike SB Zoom Stefan Janoski ""Medium Mint""",Shoes,10,30.0,NK_ZSJ_MM
25,27,0,Nike Tailwind Loose Short-Sleeve Running Shirt,Clothing,11,15.0,NK_TLS_RS
26,28,0,Oversized Women T-Shirt,Clothing,11,24.0,WM_OVR_TS
27,29,0,Custom T-Shirt,Clothing,11,15.0,CS_TSHIRT
28,30,0,Levi's 511 Jeans,Clothing,11,43.5,LV_511_JN
29,31,0,Obey Propaganda Hat,Accessories,12,30.0,OB_HAT_PR
30,32,0,Reversible Horseferry Check Belt,Accessories,12,45.0,RH_CHK_BL
31,33,0,Ray Ban Aviator Sunglasses,Accessories,12,25.0,RB_AVR_SG
32,34,0,Night Visions,Digital downloads,13,2.8,NIGHT_VSN
33,35,0,If You Wait (donation),Digital downloads,13,0.0,IF_YOU_WT
34,36,0,Science & Faith,Digital downloads,13,0.0,SCI_FAITH
35,37,0,Fahrenheit 451 by Ray Bradbury,Books,14,27.0,FR_451_RB
36,38,0,First Prize Pies,Books,14,51.0,FIRST_PRP
37,39,0,Pride and Prejudice,Books,14,24.0,PRIDE_PRJ
38,40,0,Elegant Gemstone Necklace (rental),Jewelry,15,30.0,EG_GEM_NL
39,41,0,Flower Girl Bracelet,Jewelry,15,360.0,FL_GIRL_B
40,42,0,Vintage Style Engagement Ring,Jewelry,15,2100.0,VS_ENG_RN
41,43,0,$25 Virtual Gift Card,Gift Cards,16,25.0,VG_CR_025
42,44,0,$50 Physical Gift Card,Gift Cards,16,50.0,PG_CR_050
43,45,0,$100 Physical Gift Card,Gift Cards,16,100.0,PG_CR_100
44,46,0,Butterfly Catheter - BD Winged Infusion Set,Syringes,19,1.0,CAMH-00001-00002
45,47,0,Suction Catheter 8Fr,Respiratory,22,250.0,CAMH-00001-00013
46,48,0,Suction Catheter 12Fr,Respiratory,22,450.0,CAMH-00001-00014
47,49,0,Suction Catheter 14Fr,Respiratory,22,450.0,CAMH-00001-00015
48,50,0,Syringe with needle,Syringes,19,450.0,CAMH-00001-00018
49,51,0,Night Bag 2000ml,Urinary & Continence,23,750.0,CAMH-00001-00024
50,52,0,Foley 2 way Latex in variable sizes,Urinary & Continence,23,2000.0,CAMH-00001-00038
51,54,0,Syringe Luer Lok in multiple CC sizes,Syringes,19,10080.0,CAMH-00001-00088
52,55,0,Needle in multiple sizes and weight,Needles,18,450.0,CAMH-00001-00091
53,56,0,IV Hook,Stands,20,7500.0,CAMH-00001-00097
54,57,0,Syringe Catheter Tip in variable sizes,Syringes,19,500.0,CAMH-00001-00099
55,58,10,ZAIKA CURRY LEAVES,GROCERY,349,2.29,CAGR-00002-00001
56,58,10,ZAIKA CURRY LEAVES,HERBS,631,2.29,CAGR-00002-00001
57,58,10,ZAIKA CURRY LEAVES,HERBS & SPICES,500,2.29,CAGR-00002-00001
58,59,10,TAZA SPICY PARA,MORE SNACKS,727,3.44,CAGR-00002-00002
59,59,10,TAZA SPICY PARA,PANTRY,379,3.44,CAGR-00002-00002
60,59,10,TAZA SPICY PARA,SNACKS,540,3.44,CAGR-00002-00002
61,60,10,A-1 RED CHILLI WHOLE,CHILLI SPICES,630,2.86,CAGR-00002-00003
62,60,10,A-1 RED CHILLI WHOLE,GROCERY,349,2.86,CAGR-00002-00003
63,60,10,A-1 RED CHILLI WHOLE,HERBS & SPICES,500,2.86,CAGR-00002-00003
64,61,10,GITS RAGI DOSAI MIX,DESSERT MIX,497,1.71,CAGR-00002-00004
65,61,10,GITS RAGI DOSAI MIX,GROCERY,349,1.71,CAGR-00002-00004
66,61,10,GITS RAGI DOSAI MIX,MORE DESSERT MIX,614,1.71,CAGR-00002-00004
67,62,10,ZAIKA HONEY 100% PURE,GROCERY,349,14.36,CAGR-00002-00005
68,62,10,ZAIKA HONEY 100% PURE,HONEY,638,14.36,CAGR-00002-00005
69,62,10,ZAIKA HONEY 100% PURE,HONEY & SYRUP,501,14.36,CAGR-00002-00005
70,63,10,"HALDIRAM'S MOONG DAAL, SALTY SPLIT GREEN GRAM",GRAINS & PULSES,499,1.83,CAGR-00002-00006
71,63,10,"HALDIRAM'S MOONG DAAL, SALTY SPLIT GREEN GRAM",GROCERY,349,1.83,CAGR-00002-00006
72,63,10,"HALDIRAM'S MOONG DAAL, SALTY SPLIT GREEN GRAM",OTHER GRAINS & PULSES,625,1.83,CAGR-00002-00006
73,64,10,YOGINI DRY RED CHILLY,CHILLI SPICES,630,4.3,CAGR-00002-00007
74,64,10,YOGINI DRY RED CHILLY,GROCERY,349,4.3,CAGR-00002-00007
75,64,10,YOGINI DRY RED CHILLY,HERBS & SPICES,500,4.3,CAGR-00002-00007
76,65,10,MDH PAV BHAJI MASALA,GROCERY,349,2.06,CAGR-00002-00008
77,65,10,MDH PAV BHAJI MASALA,MORE MASALA,653,2.06,CAGR-00002-00008
78,65,10,MDH PAV BHAJI MASALA,SPICE MIX,503,2.06,CAGR-00002-00008
79,66,10,ELITE RICE POWDER,MIXED PANTRY,711,2.86,CAGR-00002-00009
80,66,10,ELITE RICE POWDER,MORE PANTRY,536,2.86,CAGR-00002-00009
81,66,10,ELITE RICE POWDER,PANTRY,379,2.86,CAGR-00002-00009
82,67,10,ZAIKA LINDI PEPPER,GROCERY,349,4.59,CAGR-00002-00010
83,67,10,ZAIKA LINDI PEPPER,HERBS & SPICES,500,4.59,CAGR-00002-00010
84,67,10,ZAIKA LINDI PEPPER,LINDI PEPPER,632,4.59,CAGR-00002-00010
85,68,10,HIMALAYA BASMATIC RICE,GRAINS & PULSES,499,17.24,CAGR-00002-00011
86,68,10,HIMALAYA BASMATIC RICE,GROCERY,349,17.24,CAGR-00002-00011
87,68,10,HIMALAYA BASMATIC RICE,RICE,627,17.24,CAGR-00002-00011
88,69,10,DEEP GARAM MASALA,GARAM MASALA,649,6.89,CAGR-00002-00012
89,69,10,DEEP GARAM MASALA,GROCERY,349,6.89,CAGR-00002-00012
90,69,10,DEEP GARAM MASALA,SPICE MIX,503,6.89,CAGR-00002-00012
91,70,10,AEROPLANE  TAMARIND,GROCERY,349,3.29,CAGR-00002-00013
92,70,10,AEROPLANE  TAMARIND,HERBS & SPICES,500,3.29,CAGR-00002-00013
93,70,10,AEROPLANE  TAMARIND,MORE HERBS & SPICES,633,3.29,CAGR-00002-00013
94,71,10,DEEP HANDVA FLOUR,FLOUR,498,3.44,CAGR-00002-00014
95,71,10,DEEP HANDVA FLOUR,GROCERY,349,3.44,CAGR-00002-00014
96,71,10,DEEP HANDVA FLOUR,MORE FLOURS,619,3.44,CAGR-00002-00014
97,72,10,DEEP CORIANDER SEEDS,DRY FRUITS,533,5.16,CAGR-00002-00015
98,72,10,DEEP CORIANDER SEEDS,PANTRY,379,5.16,CAGR-00002-00015
99,72,10,DEEP CORIANDER SEEDS,SEEDS,703,5.16,CAGR-00002-00015
100,73,10,HALDIRAM'S INDIAN SNACKS MIXTURE,PANTRY,379,1.83,CAGR-00002-00016
101,73,10,HALDIRAM'S INDIAN SNACKS MIXTURE,SNACKS,540,1.83,CAGR-00002-00016
102,73,10,HALDIRAM'S INDIAN SNACKS MIXTURE,SNACKS MIX,731,1.83,CAGR-00002-00016
103,74,10,SALEEM CARAVAN SUPER GOLDEN BASMATI RICE,GRAINS & PULSES,499,14.94,CAGR-00002-00017
104,74,10,SALEEM CARAVAN SUPER GOLDEN BASMATI RICE,GROCERY,349,14.94,CAGR-00002-00017
105,74,10,SALEEM CARAVAN SUPER GOLDEN BASMATI RICE,RICE,627,14.94,CAGR-00002-00017
106,75,10,VATIKA NEEM SKIN DEFENCE SOAP,HEALTH & PERSONAL,352,2.14,CAGR-00002-00018
107,75,10,VATIKA NEEM SKIN DEFENCE SOAP,SKIN CARE,513,2.14,CAGR-00002-00018
108,75,10,VATIKA NEEM SKIN DEFENCE SOAP,SOAP,692,2.14,CAGR-00002-00018
109,76,10,KINGS FALOODA SEV CORN VERMICELLI,DESSERT MIX,497,1.15,CAGR-00002-00019
110,76,10,KINGS FALOODA SEV CORN VERMICELLI,FALOODA MIX,612,1.15,CAGR-00002-00019
111,76,10,KINGS FALOODA SEV CORN VERMICELLI,GROCERY,349,1.15,CAGR-00002-00019
112,77,10,TRUPTI SUMAC,GROCERY,349,4.36,CAGR-00002-00020
113,77,10,TRUPTI SUMAC,HERBS & SPICES,500,4.36,CAGR-00002-00020
114,77,10,TRUPTI SUMAC,MORE HERBS & SPICES,633,4.36,CAGR-00002-00020
115,78,10,EVEREST MEAT MASALA,GROCERY,349,2.86,CAGR-00002-00021
116,78,10,EVEREST MEAT MASALA,MEAT MASALA,652,2.86,CAGR-00002-00021
117,78,10,EVEREST MEAT MASALA,SPICE MIX,503,2.86,CAGR-00002-00021
118,79,10,RASOI MAGIC EGG CURRY MASALA,GROCERY,349,1.48,CAGR-00002-00022
119,79,10,RASOI MAGIC EGG CURRY MASALA,MORE MASALA,653,1.48,CAGR-00002-00022
120,79,10,RASOI MAGIC EGG CURRY MASALA,SPICE MIX,503,1.48,CAGR-00002-00022
121,80,10,MITCHELL'S RIVAYATI PLUM CHUTNEY,CHUTNEY,721,3.44,CAGR-00002-00023
122,80,10,MITCHELL'S RIVAYATI PLUM CHUTNEY,PANTRY,379,3.44,CAGR-00002-00023
123,80,10,MITCHELL'S RIVAYATI PLUM CHUTNEY,SAUCES,539,3.44,CAGR-00002-00023
124,81,10,HANDI CRYSTAL SUGAR,BAKING INGREDIENTS,494,6.31,CAGR-00002-00024
125,81,10,HANDI CRYSTAL SUGAR,GROCERY,349,6.31,CAGR-00002-00024
126,81,10,HANDI CRYSTAL SUGAR,SUGAR,602,6.31,CAGR-00002-00024
127,82,10,NANAK PURE DESI GHEE,BUTTER,586,18.39,CAGR-00002-00025
128,82,10,NANAK PURE DESI GHEE,BUTTER & SPREADS,462,18.39,CAGR-00002-00025
129,82,10,NANAK PURE DESI GHEE,DAIRY & EGGS,326,18.39,CAGR-00002-00025
130,83,10,LAYS SPANISH TOMATO TANGO FLAVOUR,MORE SNACKS,727,1.71,CAGR-00002-00026
131,83,10,LAYS SPANISH TOMATO TANGO FLAVOUR,PANTRY,379,1.71,CAGR-00002-00026
132,83,10,LAYS SPANISH TOMATO TANGO FLAVOUR,SNACKS,540,1.71,CAGR-00002-00026
133,84,10,PICCADELI BUTTER TOFFEE,MORE SNACKS,727,3.44,CAGR-00002-00027
134,84,10,PICCADELI BUTTER TOFFEE,PANTRY,379,3.44,CAGR-00002-00027
135,84,10,PICCADELI BUTTER TOFFEE,SNACKS,540,3.44,CAGR-00002-00027
136,85,10,GITS KHATTA DHOKLA MIX,DESSERT MIX,497,1.71,CAGR-00002-00028
137,85,10,GITS KHATTA DHOKLA MIX,GROCERY,349,1.71,CAGR-00002-00028
138,85,10,GITS KHATTA DHOKLA MIX,MORE DESSERT MIX,614,1.71,CAGR-00002-00028
139,86,10,TRUPTI DRY ROAST ONION,GROCERY,349,4.59,CAGR-00002-00029
140,86,10,TRUPTI DRY ROAST ONION,HERBS & SPICES,500,4.59,CAGR-00002-00029
141,86,10,TRUPTI DRY ROAST ONION,MORE HERBS & SPICES,633,4.59,CAGR-00002-00029
142,87,10,SAFEGUARD PURE WHITE SOAP,HEALTH & PERSONAL,352,2.29,CAGR-00002-00030
143,87,10,SAFEGUARD PURE WHITE SOAP,SKIN CARE,513,2.29,CAGR-00002-00030
144,87,10,SAFEGUARD PURE WHITE SOAP,SOAP,692,2.29,CAGR-00002-00030
145,88,10,DEEP METHI PARATHA,PANTRY,379,3.44,CAGR-00002-00031
146,88,10,DEEP METHI PARATHA,PARATHA,594,3.44,CAGR-00002-00031
147,88,10,DEEP METHI PARATHA,"ROTI, PITA & NAAN",538,3.44,CAGR-00002-00031
148,89,10,KCB TEA RUSK,PANTRY,379,2.29,CAGR-00002-00032
149,89,10,KCB TEA RUSK,RUSK,730,2.29,CAGR-00002-00032
150,89,10,KCB TEA RUSK,SNACKS,540,2.29,CAGR-00002-00032
151,90,10,DEEP PAPRIKA POWDER,GROCERY,349,2.86,CAGR-00002-00033
152,90,10,DEEP PAPRIKA POWDER,HERBS & SPICES,500,2.86,CAGR-00002-00033
153,90,10,DEEP PAPRIKA POWDER,POWDERED SPICES,634,2.86,CAGR-00002-00033
154,91,10,BARBICAN APPLE FLAVOUR,BEVERAGES,285,1.71,CAGR-00002-00034
155,91,10,BARBICAN APPLE FLAVOUR,COLD DRINKS & JUICES,441,1.71,CAGR-00002-00034
156,91,10,BARBICAN APPLE FLAVOUR,FLAVOURED JUICES,556,1.71,CAGR-00002-00034
157,92,10,ZAIKA HONEY 100% PURE ,GROCERY,349,6.89,CAGR-00002-00035
158,92,10,ZAIKA HONEY 100% PURE ,HONEY,638,6.89,CAGR-00002-00035
159,92,10,ZAIKA HONEY 100% PURE ,HONEY & SYRUP,501,6.89,CAGR-00002-00035
160,93,10,KCB CRUNCHY TEA RUSKS,PANTRY,379,2.29,CAGR-00002-00036
161,93,10,KCB CRUNCHY TEA RUSKS,RUSK,730,2.29,CAGR-00002-00036
162,93,10,KCB CRUNCHY TEA RUSKS,SNACKS,540,2.29,CAGR-00002-00036
163,94,10,KTC PURE MUSTARD OIL,HERBAL OIL,708,6.89,CAGR-00002-00037
164,94,10,KTC PURE MUSTARD OIL,MORE PANTRY,536,6.89,CAGR-00002-00037
165,94,10,KTC PURE MUSTARD OIL,PANTRY,379,6.89,CAGR-00002-00037
166,95,10,PALMOLIVE BALANCED AND MILD SOAP,HEALTH & PERSONAL,352,2.29,CAGR-00002-00038
167,95,10,PALMOLIVE BALANCED AND MILD SOAP,SKIN CARE,513,2.29,CAGR-00002-00038
168,95,10,PALMOLIVE BALANCED AND MILD SOAP,SOAP,692,2.29,CAGR-00002-00038
169,96,10,SUPER SAVER ENO FRUIT SALT,BEVERAGES,285,3.44,CAGR-00002-00039
170,96,10,SUPER SAVER ENO FRUIT SALT,COLD DRINKS & JUICES,441,3.44,CAGR-00002-00039
171,96,10,SUPER SAVER ENO FRUIT SALT,POWDER,559,3.44,CAGR-00002-00039
172,97,10,HIMALAYA MINT FRESH TOOTHPASTE,COOKIES & CANDIES,495,4.01,CAGR-00002-00040
173,97,10,HIMALAYA MINT FRESH TOOTHPASTE,GROCERY,349,4.01,CAGR-00002-00040
174,97,10,HIMALAYA MINT FRESH TOOTHPASTE,MOUTH FRESHENER,605,4.01,CAGR-00002-00040
175,98,10,HANDI LIN SEED OIL,HERBAL OIL,708,5.16,CAGR-00002-00041
176,98,10,HANDI LIN SEED OIL,MORE PANTRY,536,5.16,CAGR-00002-00041
177,98,10,HANDI LIN SEED OIL,PANTRY,379,5.16,CAGR-00002-00041
178,99,10,TRUPTI FENUGREEK GROUND ,GROCERY,349,3.21,CAGR-00002-00042
179,99,10,TRUPTI FENUGREEK GROUND ,HERBS & SPICES,500,3.21,CAGR-00002-00042
180,99,10,TRUPTI FENUGREEK GROUND ,MORE HERBS & SPICES,633,3.21,CAGR-00002-00042
181,100,10,ELEPHANT BASMATI RICE,GRAINS & PULSES,499,14.36,CAGR-00002-00043
182,100,10,ELEPHANT BASMATI RICE,GROCERY,349,14.36,CAGR-00002-00043
183,100,10,ELEPHANT BASMATI RICE,RICE,627,14.36,CAGR-00002-00043
184,101,10,"PRIYA MANGO PICKLE IN OIL, EXTRA HOT",GROCERY,349,4.3,CAGR-00002-00044
185,101,10,"PRIYA MANGO PICKLE IN OIL, EXTRA HOT",MANGO PICKLES,641,4.3,CAGR-00002-00044
186,101,10,"PRIYA MANGO PICKLE IN OIL, EXTRA HOT",PICKLES,502,4.3,CAGR-00002-00044
187,102,10,DESI INDRA JAV SEEDS,DRY FRUITS,533,4.01,CAGR-00002-00045
188,102,10,DESI INDRA JAV SEEDS,PANTRY,379,4.01,CAGR-00002-00045
